time	accelerometer_x	accelerometer_y	accelerometer_z	gyroscope_x	gyroscope_y	gyroscope_z	
1	48	-298	1903	2	-80	-27
6	47	-298	1911	-28	3	70
11	48	-299	1899	-28	3	70
16	55	-286	1910	-28	3	70
21	57	-299	1906	-28	3	70
26	55	-293	1901	-28	3	70
31	53	-305	1896	-28	3	70
36	46	-293	1903	-16	0	-105
41	43	-291	1897	-16	0	-105
46	60	-293	1899	-16	0	-105
51	59	-288	1909	-16	0	-105
56	55	-302	1902	-16	0	-105
61	54	-300	1902	-16	0	-105
66	45	-305	1900	6	-14	59
71	54	-290	1905	6	-14	59
76	60	-284	1908	6	-14	59
81	49	-300	1898	6	-14	59
86	57	-293	1890	6	-14	59
91	50	-295	1896	6	-14	59
110	60	-293	1899	6	-14	59
111	52	-302	1907	6	-14	59
116	63	-291	1899	-28	-78	64
121	52	-296	1896	-28	-78	64
126	49	-288	1880	9	-57	8
131	54	-287	1899	9	-57	8
136	53	-291	1906	9	-57	8
141	55	-297	1874	9	-57	8
146	68	-302	1892	9	-57	8
151	44	-289	1893	9	-57	8
156	46	-298	1897	9	-57	8
161	56	-300	1891	-27	36	18
166	62	-299	1905	-27	36	18
171	69	-306	1900	-27	36	18
176	47	-301	1903	-27	36	18
181	56	-298	1910	-27	36	18
186	51	-294	1900	-27	36	18
191	53	-285	1899	-36	-11	74
196	62	-297	1911	-36	-11	74
201	59	-294	1897	-36	-11	74
206	49	-288	1903	-36	-11	74
211	55	-299	1907	-36	-11	74
216	52	-292	1898	-36	-11	74
221	50	-292	1920	-37	32	103
226	66	-294	1899	-37	32	103
231	58	-304	1887	-37	32	103
236	58	-299	1902	-37	32	103
241	52	-294	1884	-37	32	103
246	62	-292	1911	-37	32	103
251	60	-292	1909	-4	11	7
256	56	-293	1897	-4	11	7
261	54	-293	1896	-4	11	7
266	49	-301	1888	-4	11	7
271	53	-292	1892	-4	11	7
276	55	-291	1912	-4	11	7
281	55	-288	1918	10	-21	52
286	59	-293	1901	10	-21	52
291	53	-303	1897	10	-21	52
296	42	-293	1910	10	-21	52
301	49	-287	1896	10	-21	52
306	55	-294	1901	10	-21	52
311	65	-296	1903	10	-21	52
316	56	-302	1904	-35	-54	15
321	53	-300	1888	-35	-54	15
326	53	-295	1907	-35	-54	15
331	47	-286	1897	-35	-54	15
336	63	-300	1887	-35	-54	15
341	53	-305	1898	-35	-54	15
346	60	-297	1896	-33	12	-100
351	45	-295	1904	-33	12	-100
356	61	-290	1892	-33	12	-100
361	54	-293	1909	-33	12	-100
366	54	-295	1921	-33	12	-100
371	53	-302	1905	-33	12	-100
376	48	-306	1903	-9	26	34
381	43	-305	1910	-9	26	34
386	51	-293	1900	-9	26	34
391	56	-290	1905	-9	26	34
396	56	-299	1909	-9	26	34
401	61	-301	1910	-9	26	34
406	56	-297	1899	-23	-25	-130
411	41	-297	1914	-23	-25	-130
416	48	-294	1906	-23	-25	-130
421	63	-288	1913	-23	-25	-130
426	56	-299	1906	-23	-25	-130
431	55	-301	1887	-23	-25	-130
436	57	-296	1898	-49	-12	86
441	52	-299	1906	-49	-12	86
446	55	-290	1890	-49	-12	86
451	60	-289	1902	-49	-12	86
456	53	-293	1893	-49	-12	86
461	61	-294	1898	-49	-12	86
466	59	-299	1904	-49	-12	86
471	54	-292	1899	2	3	40
476	50	-299	1903	2	3	40
481	53	-295	1904	2	3	40
486	53	-301	1893	2	3	40
491	56	-304	1910	2	3	40
496	60	-282	1884	2	3	40
501	52	-290	1899	-33	-7	-32
506	51	-294	1897	-33	-7	-32
511	52	-292	1909	-33	-7	-32
516	53	-296	1887	-33	-7	-32
521	49	-303	1896	-33	-7	-32
526	47	-298	1912	-33	-7	-32
531	57	-295	1902	-45	-32	-10
536	54	-289	1882	-45	-32	-10
541	55	-299	1905	-45	-32	-10
546	55	-297	1906	-45	-32	-10
551	53	-305	1892	-45	-32	-10
556	49	-290	1906	-45	-32	-10
561	52	-298	1920	-63	-17	-133
566	58	-292	1902	-63	-17	-133
571	55	-298	1911	-63	-17	-133
576	56	-295	1907	-63	-17	-133
581	52	-293	1905	-63	-17	-133
586	43	-288	1911	-63	-17	-133
591	57	-284	1891	-76	13	-64
596	59	-287	1917	-76	13	-64
601	61	-295	1904	-76	13	-64
606	60	-302	1908	-76	13	-64
611	53	-310	1893	-76	13	-64
616	55	-305	1901	-76	13	-64
621	53	-286	1902	-76	13	-64
626	61	-292	1905	12	16	42
631	51	-294	1899	12	16	42
636	48	-300	1895	12	16	42
641	52	-293	1902	12	16	42
646	53	-295	1900	12	16	42
651	49	-289	1893	12	16	42
656	60	-294	1913	-20	42	-52
661	55	-296	1908	-20	42	-52
666	54	-297	1890	-20	42	-52
671	56	-305	1905	-20	42	-52
676	50	-293	1910	-20	42	-52
681	46	-295	1910	-20	42	-52
686	55	-298	1906	-11	23	12
691	60	-301	1899	-11	23	12
696	54	-291	1886	-11	23	12
701	54	-302	1909	-11	23	12
706	48	-294	1906	-11	23	12
711	55	-292	1904	-11	23	12
716	56	-299	1901	-65	-2	-80
721	59	-298	1915	-65	-2	-80
726	54	-298	1901	-65	-2	-80
731	43	-298	1910	-65	-2	-80
736	60	-305	1899	-65	-2	-80
741	66	-302	1952	-65	-2	-80
746	68	-287	1906	-79	0	-108
751	55	-291	1878	-79	0	-108
756	54	-309	1912	-79	0	-108
761	50	-292	1921	-79	0	-108
766	60	-296	1909	-79	0	-108
771	59	-293	1901	-79	0	-108
776	58	-288	1907	-79	0	-108
781	50	-302	1900	-24	0	-111
786	54	-300	1901	-24	0	-111
791	60	-303	1909	-24	0	-111
796	56	-298	1896	-24	0	-111
801	58	-293	1892	-24	0	-111
806	56	-297	1888	-24	0	-111
811	46	-292	1891	-25	35	-49
816	46	-298	1902	-25	35	-49
821	45	-294	1905	-25	35	-49
826	52	-294	1898	-25	35	-49
831	58	-300	1897	-25	35	-49
836	50	-292	1909	-25	35	-49
841	55	-298	1909	-9	-40	74
846	49	-299	1900	-9	-40	74
851	47	-294	1902	-9	-40	74
856	58	-293	1901	-9	-40	74
861	51	-305	1904	-9	-40	74
866	55	-296	1884	-9	-40	74
871	49	-299	1902	-35	29	-20
876	47	-294	1897	-35	29	-20
881	63	-293	1901	-35	29	-20
886	63	-291	1904	-35	29	-20
